status,severity,fileName,dbId,dbPath,diskPath,dbSize,diskSize,dbModifiedAt,diskModifiedAt,supplierOffers,rawProducts,note
db-file-missing-no-match,high,3.Kyqee Track light（CNY).xls,f4db3a7f-def7-4c2e-9d68-81d1ffec028e,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/室内照明/轨道灯/开启/开启目录和报价/3.Kyqee Track light（CNY).xls,,47770624,,2025-03-25T06:34:12.000Z,,151,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,东莞弘磊照明科技有限公司报价表--杭州汇孚.xls,beb3d250-6eda-4910-af0c-4f087fa0c4d7,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/LED 地埋灯地插灯/东莞弘磊照明/东莞弘磊照明科技有限公司报价表--杭州汇孚.xls,,221696,,2021-09-10T02:55:18.000Z,,2,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,中山开启轨道系列报价2021.5.13.xlsx,7d4f2881-848e-4b33-9380-20e5693e15a2,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/室内照明/磁吸灯/中山开启/中山开启轨道系列报价2021.5.13.xlsx,,328729,,2021-05-18T08:16:52.000Z,,17,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,二代五星庭院灯AX-FB-TYD garden light20240316.xls,682ec190-7a3c-4dce-9f14-770f7873ca94,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/艾轩/202404 艾轩/二代五星庭院灯AX-FB-TYD garden light20240316.xls,,226816,,2024-04-03T02:19:24.000Z,,1,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,云霄庭院灯报价.xlsx,fa13e660-689b-4a83-b2f5-bcc7d355cc41,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/艾轩/202410/云霄庭院灯报价.xlsx,,25522997,,2024-04-03T02:19:28.000Z,,1,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,优泽价格产品系列 2023.10.xlsx,3ce62967-cb64-49e0-85ae-1b6275fd3f34,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/优泽/优泽价格产品系列 2023.10.xlsx,,1007762,,2026-03-04T07:44:27.090Z,,24,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,炬星应急灯管报价单（欧标汇孚林总).xls,bd908048-a92b-44ed-9a41-b37a18c57dc2,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/炬星/炬星应急灯管报价单（欧标汇孚林总).xls,,93184,,2024-10-13T12:52:52.000Z,,3,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,荣耀庭院灯AX-FB-TYD garden light 20240316.xls,ec2cdaa6-d884-406d-b924-3956a38604b4,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/艾轩/202404 艾轩/荣耀庭院灯AX-FB-TYD garden light 20240316.xls,,576000,,2024-04-13T08:12:23.000Z,,1,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,high,菱形庭院灯报价含税-202309.xls,de8c38cf-5e55-4c61-95ba-399cf492a10d,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/艾轩/2023/艾轩 9月更新/庭院灯/菱形庭院灯报价含税-202309.xls,,304128,,2023-09-22T08:18:25.000Z,,1,0,DB file path is missing and no same filename/size candidate was found on disk.
db-path-missing-candidate-on-disk,medium,02.jpg,1e3dedbd-c4ff-4fd6-b03e-1edac209aae6,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/02.jpg,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/室内照明/大面板/辰景/工厂图片/Inside photos/02.jpg,861729,114722,2017-06-02T07:19:49.000Z,2021-10-21T09:04:00.000Z,0,0,same file name only; size may differ; 1 candidate(s).
db-path-missing-candidate-on-disk,medium,Christy-quotation-LED STRIP LIGHT - 202305.pdf,c00aa611-6a9d-49fc-8b57-a27f135b75a7,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇202304更新/Christy-quotation-LED STRIP LIGHT - 202305.pdf,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/迪闻/Christy-quotation-LED STRIP LIGHT - 202305.pdf ; /Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/跨境产品/灯带套装 东莞迪闻/Christy-quotation-LED STRIP LIGHT - 202305.pdf,284102,284102,2023-06-07T02:39:48.000Z,2023-05-18T04:38:38.000Z,0,0,same file name + size; 2 candidate(s).
db-path-missing-candidate-on-disk,medium,图片1.png,3bf9b4ce-0358-445b-a109-59784edc1170,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/4种防静电袋/图片1.png,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/伊特/伊特给 图片和技术资料/伊特泽俊新款太阳能路灯视频/图片1.png ; /Volumes/My Passport/AI 报价/各家工厂最新报价汇总/室内照明/筒灯/极峰/图片1.png ; /Volumes/My Passport/AI 报价/各家工厂最新报价汇总/室内照明/应急灯/应急指示灯/图片1.png,1004156,164043,2022-11-15T10:11:27.000Z,2022-10-24T06:58:12.000Z,0,0,same file name only; size may differ; 3 candidate(s).
db-file-missing-no-match,low,01-02.jpg,e8c22efc-6d58-4c8b-9306-bcd8ea7d68fa,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/01-02.jpg,,801517,,2017-06-02T06:31:34.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,03-04.jpg,ca355811-5fd4-458a-a7d9-a5ac1ad19b30,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/03-04.jpg,,645978,,2017-06-02T06:32:04.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,05-06.jpg,17529d47-c180-41e4-a32e-98ebea5df6b3,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/05-06.jpg,,893517,,2017-06-02T06:33:09.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,07-08.jpg,5a8636a2-06bb-4e48-ae2d-4c3c596be74b,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/07-08.jpg,,709090,,2017-06-02T06:33:30.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,09-10.jpg,e4ded736-aef1-4aef-98e7-b31d3e8dfd89,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/09-10.jpg,,1064105,,2017-06-02T09:31:07.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,1_01.jpg,82e1dbca-1725-4b83-93bf-9efdc47a62d8,/Volumes/My Passport/AI 报价/发客户报价单汇总/橱柜灯-天启/Photos - LED Cabinet Light - Wellux/1_01.jpg,,135773,,2023-11-27T10:20:40.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,1_06.jpg,efca34a6-c44d-4eb7-a761-3d577a83276b,/Volumes/My Passport/AI 报价/发客户报价单汇总/橱柜灯-天启/Photos - LED Cabinet Light - Wellux/1_06.jpg,,107931,,2023-11-27T10:20:11.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,1_07.jpg,9d5e68d0-1c5c-496a-a5e5-9269d2105618,/Volumes/My Passport/AI 报价/发客户报价单汇总/橱柜灯-天启/Photos - LED Cabinet Light - Wellux/1_07.jpg,,228280,,2023-11-27T10:20:02.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,1、220V无导线报价单.xls,55b2e9a6-6f18-4ca5-a091-f91f572d5dab,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/1、220V无导线报价单.xls,,75776,,2026-03-24T07:01:11.120Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,1. 220V无导线.xlsx,ad62cbdc-3fef-4769-9a76-87f5683c4d7c,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202504 报价 更新  注意全部不含税 /1. 220V无导线.xlsx,,14793,,2025-11-25T09:13:12.580Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,1.220V无导线6月报价单(1).xls,449320db-bbca-4194-b61f-e703b8e76e0c,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202406/1.220V无导线6月报价单(1).xls,,91136,,2025-02-19T07:00:21.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,10、220V--COB.xlsx,b3ae4bed-eaea-4f2f-a6b6-07fc0852782b,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/10、220V--COB.xlsx,,14979,,2026-03-24T07:26:37.640Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,10. 220V - 高压COB.xlsx,6dc65f64-7f42-4f2e-9e3b-4744d7bb0e4f,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202504 报价 更新  注意全部不含税 /10. 220V - 高压COB.xlsx,,16304,,2025-10-14T03:27:28.490Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,10.220V-110V-COB单价.xlsx,a46a7122-3667-4ffb-b647-c651ced04489,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202406/10.220V-110V-COB单价.xlsx,,12475,,2024-10-10T15:26:03.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,11-12.jpg,1411e551-6cb6-4fcb-9ee6-80614467c3f5,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/画册/无导线高压灯带画册/jpg/11-12.jpg,,778351,,2017-06-02T06:33:57.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,11、无导线半成品SKD价格-06.xlsx,66a2f455-e4d3-4f6e-86fd-97d0589cfbf3,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/11、无导线半成品SKD价格-06.xlsx,,11214,,2025-11-26T10:01:00.750Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,11、纯硅胶挤出报价格表-03 2026年3月更新.xls,2803f9c7-9917-467a-b0c2-5603a0292721,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/11、纯硅胶挤出报价格表-03 2026年3月更新.xls,,274944,,2026-04-06T09:03:21.200Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,11. SKD 无导线半成品 热卖款就这些 价格不含胶料.xlsx,32fe65a4-319a-4cf0-8b6d-4b3610c58bfc,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202504 报价 更新  注意全部不含税 /11. SKD 无导线半成品 热卖款就这些 价格不含胶料.xlsx,,13566,,2025-05-14T09:23:30.370Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,12-无导线彩色灯带价格表.xlsx,6b577b0d-344f-495c-9bfa-c46fb1ee73a9,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202504 报价 更新  注意全部不含税 /12-无导线彩色灯带价格表.xlsx,,10519,,2025-03-31T06:21:02.170Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,12、无导线彩色灯带价格表-06.xlsx,98a29247-84ae-405d-8304-96393a4b7367,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202510价格/12、无导线彩色灯带价格表-06.xlsx,,10519,,2025-03-31T06:21:02.170Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,12V 320灯 裸板 单面板 2.8元 一米.png,db608609-1a76-4ae4-b239-039aa6d918ab,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202310月更新/12V 320灯 裸板 单面板 2.8元 一米.png,,22919,,2023-10-13T13:00:53.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,12V-2835-8-120D-CCT.pdf,4eed6ebe-5eec-4547-917c-87c4b79bdb88,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/测试报告/12V-2835-8-120D-CCT.pdf,,166773,,2024-09-21T03:02:21.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
